undefined | 2021-08-19T23:39:16.385Z | undefined 
::1 | 2021-08-23T22:25:03.974Z | /static/src/whatsappfaleconosco.jpg 
::1 | 2021-08-23T22:25:03.993Z | /static/src/twitter.ico 
::1 | 2021-08-23T22:25:03.996Z | /static/src/facebook.ico 
::1 | 2021-08-23T22:25:04.001Z | /static/src/instagram.ico 
::1 | 2021-08-23T22:25:04.004Z | /static/src/Y.ico 
::1 | 2021-08-23T22:25:05.119Z | /favicon.ico 
::1 | 2021-08-23T22:25:07.984Z | /login/logUser 
::1 | 2021-08-23T22:29:15.851Z | / 
::1 | 2021-08-23T22:29:15.928Z | /css/home.css 
::1 | 2021-08-23T22:29:15.953Z | /css/flickity.css 
::1 | 2021-08-23T22:29:15.963Z | /css/footer.css 
